PEN DESK WING GUARD PEA WALL CHAIR SEAT MULE TRAIN BOY SCHOOL 
GRASS KITE SWAMP FOOT DUCK SPEAR DEER HILL SPRING TAIL VINE POND 
HOSE NAIL PASTE PLATE EEL ROOT TOE LIP SPONGE PIN ARM BOOT 
BAG STRAW SLUSH SINK YARD GLASS BREAD FOOD BOX JUICE CAKE LAMP 
SHIRT CANE ROSE THUMB CHIN LEG STICK BED SLEEVE FLUTE BENCH VEST 
SKY SNOW TENT ROAD CHEEK APE CLOUD MOON ROCK JEEP SIGN CLIFF 
PANTS WORLD MAT SUIT VAN DIME CAR DITCH SOCK STREET GOAT DRESS 
PIT FUR BOWL HOOF FACE PET BROOM BUSH WOLF RAT DOG FLEA 
HAND POOL GEESE PALM CUP GATE PEACH LAMB OAK DART FLOOR STOOL 
CROW CORN ROPE RICE BRUSH FOX SKUNK TOY HAWK CALF PIE FARM 
FAN STOVE CAGE PARK COUCH ROOM VASE ELF TOAST SPARK BATH CLOCK 
ANT MOOSE LAKE HOUSE BRANCH TRASH WEB TREE CHALK TRUCK NEST WOOD 
SEAL LAWN SNAKE STEAK SNAIL OWL COW SOUP SMILE HORN MOUTH BEAK 
RAKE WHALE SOAP SALT EGG FISH STEM MOTH HEN TANK BIRD PLANT 
BOARD STAR SHIP POLE WAVE BAND FROG SUN PLANE SAIL CAPE FORT 
BEAN WAND STAIR SWORD PEARL DOOR CROWN GOLD STONE PIPE PRINCE TOOL 
NET STORE CASH PHONE COIN BANK MAIL CUBE INK CONE SHEET ICE 
PEAR LEAF SMOKE NOSE THREAD JET HEART RIB BAT MAZE CAT FOG 
HOOK BEE SEED FRUIT TRAY TEA MUD SHRIMP JAR SHARK GRAPE SHELL 
ARK BALL WHEEL FILM ZOO STEAM MOLE TOOTH CORD TEETH BOMB BRIDGE 
MOUSE ROOF DOCK CART CAVE CRANE SLIME BRICK TOAD TIE BARN SKI 
STORM SHIELD SHEEP SEA BLOOM RAIN KEY BEACH MAP FUDGE LAND FLAG 
PIG BOOK HORSE JUDGE EAR JAIL CLOWN BADGE PURSE CHIEF MUG WEED 
DOLL SPOON BEAR DRUM AXE WORM FLAME FENCE BLUSH HOLE FORK MILK 
RUG LOCK BOAT GLOVE SQUARE SHOE OAR FOAM CLAY CLOTH STRING HAT 
