BUSH TREE HAWK WING CAGE NEST GEESE STRAW SLUSH TAIL TOE POND 
BAT PURSE PEN GLOVE HAND NAIL PIE BOY ELF HOOK BREAD STOOL 
TENT TOAST FORK BED DOOR FLUTE MAT SWAMP BATH MUD SPOON SINK 
SKY OAK SIGN ROPE YARD WAND FLAG HEART SNOW FOOT SUIT DOCK 
RIB CLIFF LAND VEST SOCK FLOOR RUG FUR CHIN VINE CONE WALL 
SHOE SUN PALM DIME FACE BENCH LIP LEG BALL GRASS STICK TOY 
PIG RAT FAN COUCH BOX BROOM FUDGE SLEEVE BRUSH HOSE PIT MUG 
ROOF STORM STAIR BOWL AXE PEACH JAR WHALE HOLE DITCH PIPE TIE 
STOVE BOOT DESK DOLL SOUP HAT GLASS LAMP CLOTH APE PIN ROSE 
OAR SEAT HOUSE LAWN ROOM PARK SMILE JEEP DRESS MULE TRUCK SHIRT 
DRUM CHEEK BAND ROAD SQUARE VAN HORN CANE ARM ARK SKI THUMB 
CAR COIN MAIL TANK FROG KEY JUDGE STORE CLOCK BOOK STREET BADGE 
BLUSH LAKE BRIDGE ICE HILL BANK CROWN BRICK POLE LOCK MAZE JAIL 
MOON DEER TRASH WAVE BEAR EGG FILM DART GRAPE GOLD TOOTH MAP 
SOAP BEACH FOAM SKUNK STRING SPEAR SNAKE HOOF FLEA RAKE WOOD PANTS 
SEED SEA STEM PEARL SHRIMP PLANT LAMB SPONGE THREAD FOOD RICE MOOSE 
SWORD SMOKE WEED STAR FOG SHIP SHIELD SAIL CHIEF FORT TRAIN STEAM 
EEL VASE TEA CLAY SPRING BOAT DUCK POOL SEAL CLOWN NET CHAIR 
BEAN PASTE STONE FENCE FRUIT SALT CHALK SHARK INK TRAY PLATE CART 
GATE GOAT BAG PRINCE STEAK GUARD BEAK BARN MOUTH WOLF COW CALF 
WHEEL TOOL PHONE SHEET CASH CORD CAPE TEETH WORLD BOMB BOARD PLANE 
SNAIL SLIME HEN MOLE PEAR CRANE SHELL MOTH CAKE EAR FLAME OWL 
TOAD BEE FISH WEB RAIN SCHOOL SPARK CROW BLOOM PEA CLOUD JET 
NOSE MILK ROOT ROCK CUBE LEAF JUICE WORM BRANCH SHEEP MOUSE CAVE 
ANT KITE CAT PET CORN HORSE FOX DOG BIRD FARM CUP ZOO 
