FACE SIGN BADGE JAIL BAND STREET JUDGE HAT CRANE POOL SLUSH FLAG 
SINK RAT JUICE RAKE TOAD SOUP CUBE TAIL CLAY WEB DUCK BEAN 
VASE VAN NOSE CAGE PALM PLANE COUCH SLEEVE WAND SQUARE CAPE FAN 
CAKE STOVE SHRIMP POND SPOON FLAME CHALK GLASS ARK JAR FOAM BEE 
STAIR ELF DESK VEST LIP SEAT TIE GATE BROOM STICK TRUCK ROOM 
SHARK MAT PIT GRAPE SHIRT SMILE CHIN EAR MUD FORK CUP CAVE 
PIE PEACH DART TRAY DOLL MUG CANE CHAIR FLOOR SUIT SOCK PLATE 
JEEP BAG SPRING BLUSH CART CALF CORN HORN BOARD FARM BOWL MILK 
PIN HOLE VINE HOOK ROOF GOAT SEAL TREE KITE BARN BRANCH BUSH 
STRAW YARD TOY BOOT FOOT BED AXE LOCK STOOL TEETH SHOE BENCH 
STRING GUARD TOOL BAT CLIFF DITCH SLIME THREAD GLOVE WORM LEG BRUSH 
ROOT BALL CORD POLE MOON HOOF MAP CASH BANK STAR MAIL FILM 
SEA ROPE SHELL ROCK STONE SUN BRIDGE BRICK APE SHIELD SNAIL BEACH 
ANT ICE STORE EGG EEL MOLE SPONGE SEED SALT NET FISH PLANT 
ZOO SKUNK CLOUD CAT RIB GRASS MOUSE BIRD HAWK HORSE NEST SNAKE 
MAZE HAND FUDGE BREAD PURSE SPEAR MOUTH CHEEK PEAR TENT STEAK SWAMP 
OWL PIG PARK DEER LAWN FLEA FENCE OAK OAR STORM PET SKY 
CLOWN BEAR PANTS RUG DOCK SAIL DOOR FUR SKI WOLF WHALE GEESE 
SOAP BOX SCHOOL DIME HOSE CLOTH SPARK FLUTE TANK INK COIN WOOD 
KEY SHEET STEAM WAVE PEA DRUM WHEEL PHONE HEART WING BOMB BOOK 
SNOW HEN BOAT MOOSE RAIN LAKE JET TRAIN SMOKE FOG DOG HILL 
GOLD SHEEP TRASH COW NAIL FORT WALL SHIP TOOTH WORLD PRINCE CROWN 
BEAK PIPE FOX BATH CAR BOY CLOCK ROSE PEN MULE HOUSE ROAD 
LAND LAMB LAMP FROG DRESS CROW SWORD PEARL RICE TEA CHIEF FOOD 
STEM CONE WEED LEAF THUMB BLOOM TOAST FRUIT ARM TOE MOTH PASTE 
