HILL APE AXE WALL HAND STOOL GATE ROAD GRASS JAIL STRAW SUIT 
CART TIE MAT COUCH PURSE ROPE PANTS STREET RIB RUG HORN ARM 
PIG OWL FUR CAGE LAWN TREE ANT FLUTE COW CAT LAMB PET 
SPARK GRAPE GLASS BOWL TANK FLOOR OAK FOAM KITE FAN DESK SHOE 
VASE FENCE TOAST PEAR WORLD CORN YARD SOUP SHEEP CAKE BREAD EGG 
BARN WHALE BOOT DOLL LOCK SKY STOVE BROOM FACE ROSE WING DOOR 
PIPE STONE ROOF SPEAR TOY BEAN MUG TENT GOAT BRICK RAT PIT 
CHEEK GLOVE SIGN HOOK FLAG BAT MAZE KEY COIN CANE MAP DART 
WEED WORM DOCK SNAKE SHELL SEAL FISH SHRIMP STAR POOL POLE PIN 
LIP CHALK PEN TOE INK SHEET CHAIR ELF CASH PASTE THUMB PLATE 
CROW MUD CAVE DITCH ARK STICK VINE TOAD BUSH BAG HOLE SKUNK 
SUN SALT DUCK CLAY TRASH JUICE BALL BANK EEL MAIL NET BOOK 
EAR PEACH BOMB DOG CLOCK CONE WOOD RAKE SQUARE STRING SNAIL FUDGE 
BADGE SKI VAN BOX TRAIN HOSE JET FLAME CAR FROG SMOKE PLANE 
SLUSH NOSE SMILE HOUSE SWORD LEG BED BATH SOCK SINK BOY GUARD 
DRUM PIE STAIR LAMP SPONGE CLOUD CLOWN TRAY RICE RAIN PHONE BLUSH 
ROCK LAKE JEEP CLIFF CALF POND TRUCK GEESE PARK SHIELD BEAK ZOO 
VEST BEACH BOARD DRESS CRANE ROOM SLEEVE FOOT HAT WAND CAPE BOAT 
BRUSH BIRD SEED GOLD ROOT CUBE FORT HEART STEM PLANT CROWN TOOTH 
HOOF SNOW FILM SHIP CORD BEE MOON PEARL HORSE WAVE MOTH JUDGE 
TEA HEN TOOL TAIL SLIME SOAP CLOTH HAWK NEST NAIL MULE THREAD 
MOUTH MOUSE SPRING MOLE FOX TEETH SHARK WOLF JAR MILK CUP FLEA 
FORK DIME SPOON FRUIT SWAMP MOOSE BLOOM STEAK STORE SHIRT BEAR SEAT 
BRIDGE SEA PEA STEAM FOG WEB ICE DEER STORM WHEEL SAIL PRINCE 
CHIEF SCHOOL CHIN BAND PALM LAND FOOD LEAF OAR BENCH BRANCH FARM 
