CLOCK JAIL BIRD GOLD FOOD ICE FORT EGG BANK SHELL SMOKE RIB 
TOY JUDGE FOAM MILK OWL MAP MOON CONE DOLL HOSE TRAIN BOOK 
MOOSE SPONGE SAIL WALL ANT STEAM STORE SNAIL SALT FILM CASH PET 
TOE PANTS BOARD BALL WORM FISH SHARK KEY MAIL HOUSE BOAT BEAN 
FARM CHALK GEESE JET RICE HEN WHEEL RAIN FOG FUDGE SKI MOTH 
ELF CORD CLOTH TOAD FLAG CLOWN CORN ROOT DUCK TOOL GOAT SHEET 
HORSE SLEEVE RAT BEE PEARL PIN CAKE NET POLE PEA GLASS BEAR 
PIG PLANT SQUARE MOUSE PLANE NEST SCHOOL MOLE BAT DART BENCH SNAKE 
SOAP DOCK APE SOCK LAKE PASTE THUMB SPEAR POND CHIEF SEAT BOMB 
CAT SHOE FLUTE JUICE HEART EAR FUR LAND JAR ROOM COIN TEETH 
VEST THREAD STEM WEB WORLD LEAF INK ROCK JEEP BLOOM TOOTH MULE 
DITCH SIGN BOY CAPE SLUSH MOUTH AXE FLAME HORN PHONE BUSH DESK 
BOOT DOOR PEN GUARD LIP STICK FLEA HILL COW SWAMP DRESS SLIME 
TENT GATE STRAW SHEEP CAVE BLUSH WOOD HAT PARK STREET SPOON STEAK 
ARM SEAL CLIFF TAIL PIE CUP CART CRANE DEER CUBE PEAR CANE 
LOCK HAND STOOL HOOK BAND CLAY VINE CAGE TIE OAR SUIT BATH 
NOSE SINK SPARK SHIRT PIT CHAIR SKUNK FACE SEED ROPE BREAD ARK 
WAND FRUIT SPRING TEA MUG SEA FAN BRUSH ROAD ZOO TRUCK GRAPE 
BROOM COUCH LAMB NAIL MAT FLOOR LAMP STORM MUD FROG ROOF DRUM 
ROSE EEL FORK SHRIMP STOVE BARN STAIR LEG CROWN BOWL TOAST VAN 
SUN SKY STONE SWORD SHIP HAWK CLOUD GRASS STAR BRANCH WEED WING 
BOX PIPE STRING RAKE SHIELD TRAY MAZE PEACH SNOW CAR BRIDGE HOOF 
PURSE SOUP BEACH BADGE WHALE DOG OAK FOOT CHEEK TRASH PLATE CHIN 
YARD TANK HOLE VASE WOLF POOL WAVE CALF BEAK FENCE TREE BED 
BAG DIME PALM KITE GLOVE BRICK PRINCE CROW RUG SMILE LAWN FOX 
