VASE SHIRT HOUSE PARK CAKE STREET DOOR SMILE PEARL STORE WORLD FILM 
BEAK LIP TOAST DESK NOSE MUG CHAIR BOX PANTS JEEP MAT DOLL 
CHIN PRINCE STOOL GLOVE GUARD FAN TAIL FORK OAR VEST BENCH SHIELD 
STAIR TENT MOOSE BOWL TEA SMOKE LAMB BED COUCH ROOM PEN FOG 
STOVE JAR BEACH WAVE EAR CLAY SQUARE STRING TOOL PIPE ROOF CUBE 
BOAT DOCK ROSE WAND GATE BAG ROCK DITCH PURSE SEA BOOT HORN 
WOOD STRAW DART PEACH TRAY THUMB HAND SLEEVE WALL BOARD NAIL CANE 
DRUM HILL STICK RUG NEST CHEEK SHELL KITE PALM TREE SINK AXE 
OWL ARK MULE HEN TOE DOG PET YARD BUSH BROOM HOLE FENCE 
SWAMP FACE DRESS BARN HAWK EEL RAT SUIT TIE DUCK CAGE MOUTH 
CART SNOW CUP JUICE GRASS MUD APE GEESE COW BREAD SPRING GOAT 
SOCK JUDGE SPARK HORSE SLIME SHIP STORM SWORD LEG SAIL SUN CAR 
FISH CHALK TRUCK ICE CLIFF HOOK WEED SHEET MILK NET STEAK SPOON 
FOOT STAR VAN WHEEL CLOCK SKY PHONE SKI FLAG SEAT LOCK SLUSH 
PIG THREAD CORN FOAM POOL SHEEP SNAKE LAKE SHARK SPEAR SOAP ROPE 
BATH HOOF SPONGE PEAR INK PASTE CLOTH LAWN BEAN FRUIT DIME RICE 
BAND CONE JET CLOUD LAND BLUSH STEAM HOSE TANK PIN PIE PLANE 
FOOD JAIL SHRIMP BOY BALL ARM PEA SCHOOL RAIN ZOO ROAD HEART 
FORT RIB BEAR FLAME DEER STONE PLATE SOUP CHIEF CRANE CAVE MAZE 
TRAIN FARM TOY COIN CROWN MAIL BRANCH SIGN BRIDGE SEED BEE STEM 
TOOTH SEAL SHOE FOX MOTH PIT MOUSE MOLE BRUSH ELF CROW WORM 
FLUTE OAK ROOT FLOOR RAKE WING VINE BIRD ANT LAMP POND WEB 
WOLF CAPE MOON TOAD POLE BRICK EGG SALT TRASH WHALE TEETH CORD 
BLOOM MAP LEAF BOMB GRAPE BOOK CASH FUDGE KEY GOLD PLANT BANK 
BADGE FROG CALF FLEA SNAIL FUR CLOWN BAT SKUNK HAT CAT GLASS 
