LLAMA	CHISPA	PIERNA	TAZÓN	BOLSO	NARIZ	CARA	ANGUILA	MANGUERA	SILLA	ASIENTO	TRAJE
OSO	ALA	PUERTA	PLANTA	RAÍZ	HOJA	NIEVE	FLORECER	SORBETE	ARBUSTO	RAMA	JUGUETE
ESTANQUE	MANO	ESPONJA	OLA	CONCHA	OREJA	PLAYA	JAULA	CARACOL	NIDO	PICO	HILO
BANDEJA	MASCOTA	PASTEL	DULCE	DIENTES	GANSOS	JUGO	RATÓN	HUEVO	COMIDA	HORMIGA	PATO
PIPA	BÚHO	TARTA	VENADO	PRIMAVERA	MULA	AGUANIEVE	CERDO	TABURETE	PISCINA	LOBO	PANTANO
BASURA	GATO	ZOOLÓGICO	FLAUTA	ESTRELLA	LABERINTO	SOL	ESCRITORIO	MURCIÉLAGO	POLILLA	ABEJA	AVE
SIGNO	ESQUÍ	PULGA	ALFILER	SOGA	ZAPATO	COSTILLA	LODO	BAÑO	PIE	HALCÓN	MENTÓN
PELAJE	BANCO	CATRE	CUERVO	CARRO	SERPIENTE	MOFETA	VARITA	CAMISA	RATA	MUÑECO	CAMA
CAMIÓN	CORBATA	MALEZA	CASA	MEJILLA	RELOJ	MUELLE	BANCA	CÉSPED	CAJA	CARRETERA	PANTALONES
ZORRO	CORDERO	COLA	LANZA	VERJA	PERA	POZO	PRECIPICIO	CRÍA	ROCA	LUNAR	RANA
CANDADO	NIEBLA	PUENTE	ARCA	CORAZÓN	ESCALERA	LLUVIA	NUBE	ESPUMA	VELA	AUTO	TORMENTA
SELLO	BANDA	MUNDO	FRUTA	ESPADA	TARRO	PAN	COPA	PARED	PALO	ROSA	LÁMPARA
ESCOBA	VESTIDO	ROBLE	TECHO	CABALLO	RASTRILLO	BALLENA	TAMBOR	BOLSA	BANDERA	PAYASO	PARQUE
FILETE	ORO	PRÍNCIPE	BOTE	TREN	JET	PERLA	DIENTE	CAMARÓN	CORONA	PEZ	LIMO
FUERTE	LUNA	PELÍCULA	TINTA	POLO	JUEZ	EFECTIVO	PAGÍNA	CORREO	RED	SAPO	GUISANTE
MADERA	PASTA	TENEDOR	PLATO	TIZA	PIEDRA	TRAPO	RUBOR	GUANTE	HERRAMIENTA	HACHA	JARRÓN
TABLERO	BRAZO	ANZUELO	CHALECO	MEDIA	TOSTADA	ESTERA	UÑA	ESTUFA	HABITACIÓN	PEZUÑA	CEPILLO
GRANERO	LAGO	GRÚA	BASTÓN	GALLINA	HIERBA	JEEP	MAÍZ	COLINA	MANGA	REMO	CARPA
CUADRADO	FRIJOL	SOPA	VASO	TAPETE	CALLE	NIÑO	ZANJA	CORDEL	TÉ	FICHA	PAPALOTE
LADRILLO	TELARAÑA	TANQUE	ESCUELA	MAPA	LLAVE	BOLA	TIBURÓN	MONEDA	PISO	DEDO	VENTILADOR
ARROZ	JABÓN	MAR	DURAZNO	CIELO	GRANJA	DARDO	OVEJA	TERRENO	ESCUDO	JEFE	BARCO
PATIO	CUERNO	ALCES	GUARDIA	CUCHARA	PALMA	CABRA	FREGADERO	SOMBRERO	SONRISA	HOYO	LABIO
CUEVA	VAPOR	CAPA	SAL	BOMBA	BOCA	BARRO	AVIÓN	HIELO	CUERDA	CUBO	HUMO
ÁRBOL	VID	LECHE	RUEDA	TALLO	CONO	ELFO	SEMILLA	PULGAR	BOTA	GUSANO	VACA
UVA	TIENDA	TELÉFONO	BOLÍGRAFO	CARNET	TAZA	CERCA	CAMIONETA	LIBRO	PERRO	CÁRCEL	MONO
