ESCRITORIO	PERLA	PERRO	LLAVE	JUEZ	LABERINTO	TIBURÓN	TAPETE	CARNET	CATRE	SOL	CORREO
BRAZO	MEJILLA	DEDO	MASCOTA	CARPA	BOLSO	JAULA	PALMA	GUARDIA	CUERNO	JUGUETE	COLA
COMIDA	LADRILLO	PRÍNCIPE	PARED	ESCUDO	TARTA	FRUTA	BARRO	CONCHA	LANZA	TRAPO	RANA
TRAJE	OREJA	ESPADA	RELOJ	TELÉFONO	VERJA	LIBRO	BOCA	NIÑO	CASA	RUBOR	CAMIONETA
ARBUSTO	MANO	TIZA	CERCA	VENADO	ESQUÍ	MULA	TORMENTA	COLINA	CEPILLO	VARITA	PIE
ESTRELLA	ESCUELA	BANDERA	CHALECO	PUENTE	PRECIPICIO	CARA	FUERTE	TERRENO	JEFE	GUISANTE	CARRETERA
UVA	JABÓN	PEZ	CAMARÓN	FRIJOL	PRIMAVERA	LABIO	COSTILLA	ARROZ	FICHA	TALLO	HOJA
SAPO	LODO	PLANTA	DULCE	TANQUE	TABLERO	VELA	ESPONJA	JET	CHISPA	MAR	VAPOR
MAÍZ	SONRISA	CIELO	JARRÓN	TAZÓN	BANDA	REMO	SILLA	FILETE	BANCA	LÁMPARA	ANZUELO
CAPA	PISO	ROCA	ANGUILA	NIDO	POLILLA	ALA	HABITACIÓN	PLAYA	RUEDA	LLUVIA	HIERBA
OSO	ZOOLÓGICO	ALFILER	GUSANO	CAMA	AVE	LIMO	RAMA	BOLA	MURCIÉLAGO	LOBO	PELAJE
VACA	MUÑECO	PEZUÑA	SOPA	SORBETE	PASTA	ROBLE	COPA	TOSTADA	VID	PUERTA	PERA
CUERDA	OLA	JUGO	OVEJA	MAPA	AVIÓN	CONO	BARCO	BOMBA	POLO	ELFO	LUNA
LUNAR	PATO	DIENTE	CAMISA	BOTE	BOTA	MOFETA	DIENTES	CANDADO	SERPIENTE	ARCA	CRÍA
MUELLE	ESPUMA	VESTIDO	HOYO	SAL	TARRO	ROSA	PICO	CUCHARA	FREGADERO	BAÑO	HILO
BOLSA	CABRA	PATIO	CARACOL	ZAPATO	PULGA	TAMBOR	VASO	NARIZ	TELARAÑA	MUNDO	BOLÍGRAFO
NIEVE	FLORECER	LLAMA	NIEBLA	NUBE	POZO	ESTANQUE	CUERVO	LAGO	ESTERA	CUBO	JEEP
ABEJA	TIENDA	BASURA	MONO	HUMO	RATÓN	BANCO	RED	LECHE	GATO	EFECTIVO	CORAZÓN
RATA	ESCOBA	BÚHO	GALLINA	HORMIGA	SOGA	CORDEL	PAPALOTE	ZORRO	MENTÓN	TECHO	PULGAR
TABURETE	TÉ	GANSOS	MEDIA	PAYASO	CERDO	FLAUTA	GRANERO	CAMIÓN	VENTILADOR	SOMBRERO	TAZA
HACHA	HIELO	PLATO	PAGÍNA	CÁRCEL	PELÍCULA	ALCES	RAÍZ	CORONA	UÑA	HERRAMIENTA	SEMILLA
CUEVA	ESCALERA	PANTANO	MADERA	GRÚA	RASTRILLO	HALCÓN	PIPA	CABALLO	ÁRBOL	DARDO	CAJA
MANGA	CORBATA	MANGUERA	BASTÓN	BANDEJA	GRANJA	MALEZA	PASTEL	PALO	SELLO	CORDERO	PISCINA
HUEVO	TENEDOR	AGUANIEVE	ASIENTO	PARQUE	AUTO	ZANJA	GUANTE	PANTALONES	CUADRADO	PIERNA	TREN
TINTA	PAN	DURAZNO	CARRO	SIGNO	CÉSPED	BALLENA	CALLE	ESTUFA	ORO	PIEDRA	MONEDA
