LLUVIA	ESQUÍ	TAMBOR	AUTO	CORONA	ESCALERA	LLAVE	PUERTA	JEFE	OLA	JUGUETE	FLORECER
VACA	ESTRELLA	CASA	VESTIDO	PUENTE	VERJA	PIEDRA	ZORRO	CORBATA	CIELO	GUISANTE	COLINA
ASIENTO	TECHO	MANO	CARNET	FICHA	ESTERA	PALO	PAPALOTE	SONRISA	ESCUELA	BASTÓN	CATRE
FUERTE	ZOOLÓGICO	TIBURÓN	ROCA	VELA	PLAYA	BANDERA	PELAJE	PERRO	PULGA	CÁRCEL	BASURA
GUARDIA	CERCA	MUÑECO	MURCIÉLAGO	PIERNA	CUERNO	REMO	PIE	NIÑO	MEDIA	CANDADO	BOLÍGRAFO
VASO	NIEBLA	BANDEJA	DULCE	VAPOR	JET	TERRENO	SAL	LLAMA	NUBE	BARCO	ESPONJA
HORMIGA	RATA	PERA	RAMA	CUEVA	LUNAR	CORAZÓN	LIMO	COMIDA	ABEJA	CAMA	PLANTA
RED	LECHE	EFECTIVO	ORO	FILETE	UVA	MAÍZ	TRAPO	PELÍCULA	CERDO	PICO	PERLA
SOGA	PATO	SERPIENTE	CARPA	LABERINTO	HALCÓN	MALEZA	BÚHO	VENADO	ESCOBA	CARRETERA	MUELLE
NARIZ	COLA	POZO	PRÍNCIPE	RATÓN	ESCUDO	BRAZO	DEDO	PARED	LANZA	PEZUÑA	CÉSPED
GUSANO	HUEVO	ANZUELO	ALA	PEZ	TORMENTA	MAR	TELARAÑA	CAMARÓN	CONCHA	CUBO	BOTE
MANGA	ZANJA	VID	ARBUSTO	CARACOL	RUEDA	AVE	OREJA	PANTANO	HOYO	ANGUILA	GRÚA
LOBO	OVEJA	TAPETE	CHISPA	SOL	CONO	HIELO	BALLENA	UÑA	PRECIPICIO	JEEP	CUERVO
RAÍZ	ÁRBOL	PISCINA	DARDO	ARROZ	HOJA	ROBLE	TALLO	SEMILLA	CORDERO	TAZA	TÉ
GRANJA	LAGO	NIEVE	RASTRILLO	CRÍA	PRIMAVERA	HIERBA	MOFETA	MADERA	SIGNO	ELFO	POLILLA
RELOJ	CUCHARA	ESPADA	CAMIONETA	LIBRO	HABITACIÓN	CALLE	RUBOR	SOPA	CAMIÓN	CABRA	CARRO
GUANTE	PIPA	VENTILADOR	BOLSO	BANDA	ALFILER	VARITA	HERRAMIENTA	PULGAR	PATIO	CHALECO	ESCRITORIO
BOCA	ROSA	PISO	PARQUE	ZAPATO	BOTA	PAYASO	TRAJE	CAPA	JUGO	MUNDO	BOLSA
BARRO	TINTA	MENTÓN	BANCO	DURAZNO	TABURETE	BANCA	HILO	LÁMPARA	JABÓN	FLAUTA	PASTA
NIDO	PASTEL	MEJILLA	CARA	TENEDOR	COPA	ALCES	HACHA	TOSTADA	GALLINA	FRUTA	PALMA
ESTANQUE	SORBETE	AGUANIEVE	JAULA	JARRÓN	FREGADERO	TARRO	SELLO	GANSOS	SOMBRERO	CAJA	MASCOTA
LABIO	TIENDA	CAMISA	COSTILLA	MULA	TAZÓN	PAN	SILLA	FRIJOL	PANTALONES	GRANERO	ESTUFA
POLO	CABALLO	BOLA	MONO	CUERDA	MAPA	CORREO	SAPO	DIENTES	OSO	GATO	JUEZ
TANQUE	MANGUERA	BOMBA	MONEDA	AVIÓN	LADRILLO	PLATO	CUADRADO	LUNA	PAGÍNA	ARCA	TREN
CEPILLO	LODO	TELÉFONO	TIZA	HUMO	BAÑO	ESPUMA	RANA	CORDEL	TABLERO	TARTA	DIENTE
