CUEVA	ESCALERA	CATRE	DARDO	CAMA	LABERINTO	SERPIENTE	PRECIPICIO	DEDO	SILLA	LODO	ESCOBA
OVEJA	CABRA	ALCES	CORREO	ESQUÍ	PAN	SOMBRERO	CARNET	ARROZ	NIEVE	NIEBLA	TIENDA
PIE	LUNA	PALMA	TORMENTA	TENEDOR	CARACOL	REMO	NUBE	BOTE	ROBLE	TABURETE	PLAYA
PIEDRA	CUERNO	LANZA	ARBUSTO	TAMBOR	PERA	PANTANO	ZORRO	HOJA	JEFE	FLAUTA	PLANTA
PIERNA	CERDO	RATA	CUBO	COLINA	CORDERO	CARRETERA	CERCA	VACA	MASCOTA	GATO	CRÍA
GRÚA	SELLO	DULCE	BOLÍGRAFO	TINTA	BANCO	PAGÍNA	LIBRO	ESCRITORIO	PARED	ZANJA	MONEDA
JUEZ	BOMBA	OREJA	BASURA	LECHE	ESTRELLA	PERRO	PELÍCULA	OLA	ZOOLÓGICO	POLO	ARCA
PERLA	VAPOR	JET	HIELO	MAR	CHISPA	SOL	TIBURÓN	POZO	MAPA	AVIÓN	VELA
TECHO	VERJA	ROCA	LLAMA	BARRO	CAJA	HOYO	BALLENA	FRIJOL	HILO	ESPUMA	HUMO
VASO	TAZA	MEDIA	PISO	ZAPATO	TARRO	ELFO	TANQUE	PISCINA	HABITACIÓN	BASTÓN	TAPETE
ORO	LÁMPARA	LUNAR	CORONA	BARCO	POLILLA	NIDO	ABEJA	HUEVO	SAPO	CONCHA	PEZUÑA
ROSA	BANDERA	RUEDA	MUNDO	CUCHARA	PASTEL	PATIO	MUELLE	LLAVE	HERRAMIENTA	CORDEL	MANGUERA
GANSOS	MOFETA	COSTILLA	GUSANO	CANDADO	ESPONJA	BÚHO	GALLINA	ALFILER	COMIDA	PEZ	TELARAÑA
CASA	CAMIÓN	GRANJA	RUBOR	SONRISA	PRIMAVERA	VID	LABIO	CÉSPED	PALO	ÁRBOL	CARPA
ASIENTO	MULA	DIENTE	PASTA	BANDEJA	DIENTES	PICO	PUENTE	SAL	PIPA	JABÓN	TOSTADA
LADRILLO	SEMILLA	MAÍZ	RED	TALLO	CORAZÓN	JUGUETE	CUERDA	CAMARÓN	MADERA	BOLA	RAÍZ
COPA	SOPA	AGUANIEVE	CEPILLO	FRUTA	PULGAR	TRAJE	PLATO	UVA	MEJILLA	JARRÓN	NARIZ
CUERVO	PAYASO	ESCUELA	PRÍNCIPE	JUGO	TABLERO	ALA	MUÑECO	RAMA	CABALLO	OSO	PAPALOTE
NIÑO	RATÓN	ANZUELO	VARITA	LLUVIA	VENTILADOR	CIELO	UÑA	MURCIÉLAGO	HIERBA	HORMIGA	TIZA
PATO	EFECTIVO	GRANERO	RANA	ESTANQUE	BRAZO	VENADO	RASTRILLO	JEEP	PARQUE	LOBO	SOGA
CAPA	BOLSA	ESTERA	PUERTA	ESTUFA	BOLSO	CAMISA	BOTA	BAÑO	TÉ	GUISANTE	TRAPO
CALLE	JAULA	FICHA	LIMO	PANTALONES	FREGADERO	PELAJE	HACHA	TREN	MANGA	CORBATA	MANO
LAGO	BOCA	DURAZNO	CUADRADO	FLORECER	AVE	COLA	TERRENO	CARA	HALCÓN	ANGUILA	SIGNO
MENTÓN	SORBETE	MONO	CARRO	FILETE	CHALECO	VESTIDO	TAZÓN	BANCA	ESPADA	GUANTE	GUARDIA
RELOJ	FUERTE	TARTA	CAMIONETA	PULGA	ESCUDO	MALEZA	AUTO	CONO	CÁRCEL	TELÉFONO	BANDA
