EFECTIVO	DIENTE	ESPONJA	MUNDO	SEMILLA	CEPILLO	BANCO	HORMIGA	HOJA	RAMA	CUERDA	TALLO
NUBE	JUEZ	BALLENA	CABALLO	PLAYA	ESTRELLA	OLA	HUMO	GALLINA	CORAZÓN	GUANTE	CHALECO
MAPA	MAÍZ	ROSA	ELFO	CAPA	RED	MAR	PAGÍNA	ORO	BARRO	PERLA	MONEDA
NIEBLA	CAMA	GANSOS	VACA	TABLERO	PUENTE	BOTE	AGUANIEVE	CAMIONETA	GUARDIA	CORDERO	ESTUFA
JEEP	CAMISA	PASTEL	PARQUE	CERDO	AVIÓN	ESTERA	TREN	FILETE	BOLSO	DULCE	MASCOTA
CAJA	PUERTA	CATRE	MANGA	PASTA	TIZA	JAULA	COPA	PIERNA	CARRO	TABURETE	DARDO
BRAZO	JARRÓN	BANDEJA	BOLSA	MUÑECO	BOLA	MEDIA	PERA	PIE	BASTÓN	CORDEL	REMO
TECHO	ESTANQUE	ARROZ	RUBOR	VASO	CARACOL	COMIDA	ANZUELO	LECHE	SAPO	TARRO	SOL
RATÓN	CUERVO	CARRETERA	HIERBA	TAMBOR	TELARAÑA	FLAUTA	LLUVIA	CRÍA	PRÍNCIPE	CONCHA	LOBO
AUTO	TIENDA	PLANTA	RAÍZ	GRANJA	JUGO	TORMENTA	OVEJA	HIELO	BASURA	CUBO	UVA
TINTA	TÉ	JUGUETE	MULA	NIÑO	CORBATA	TRAPO	PRIMAVERA	CUADRADO	DURAZNO	HERRAMIENTA	PLATO
CASA	LABERINTO	BAÑO	SERPIENTE	ZANJA	CALLE	LODO	PANTANO	VID	CIELO	ANGUILA	ESCALERA
UÑA	CÁRCEL	MANGUERA	ESQUÍ	MUELLE	BOMBA	PEZUÑA	LLAVE	TERRENO	BOTA	LAGO	LIBRO
HILO	ZAPATO	LABIO	TRAJE	TAPETE	ESCUDO	SIGNO	PICO	PANTALONES	JABÓN	PAYASO	LÁMPARA
LUNA	ABEJA	BARCO	VELA	POLO	HUEVO	FUERTE	ZOOLÓGICO	ROCA	GATO	TIBURÓN	PELÍCULA
TELÉFONO	TOSTADA	TANQUE	GUISANTE	SILLA	FRIJOL	PISCINA	PATIO	TAZA	CORREO	VENTILADOR	FICHA
RELOJ	CERCA	MALEZA	BANCA	PARED	BANDA	DEDO	CUERNO	HALCÓN	NARIZ	PRECIPICIO	MANO
MADERA	SOMBRERO	JET	ESPUMA	MURCIÉLAGO	HABITACIÓN	ALA	LIMO	TAZÓN	PELAJE	ALFILER	CHISPA
POZO	COLINA	ESCOBA	ARCA	SORBETE	PIEDRA	ÁRBOL	NIEVE	ROBLE	CARA	NIDO	CÉSPED
LANZA	HOYO	ARBUSTO	MENTÓN	MEJILLA	PALMA	PISO	CONO	CANDADO	ESPADA	RANA	LLAMA
HACHA	BÚHO	CABRA	OREJA	RATA	TENEDOR	SOGA	PIPA	GRÚA	BOCA	VARITA	PULGAR
JEFE	ESCUELA	CAMIÓN	FREGADERO	CARNET	VESTIDO	CUCHARA	MONO	ESCRITORIO	ASIENTO	SONRISA	BANDERA
RASTRILLO	DIENTES	CORONA	OSO	PEZ	AVE	PATO	CAMARÓN	VENADO	FRUTA	COSTILLA	GUSANO
FLORECER	GRANERO	BOLÍGRAFO	RUEDA	LADRILLO	SAL	LUNAR	POLILLA	PERRO	PULGA	VAPOR	PAPALOTE
ZORRO	CARPA	TARTA	CUEVA	SOPA	PALO	ALCES	MOFETA	SELLO	PAN	VERJA	COLA
