BÚHO	FREGADERO	BANCA	NIDO	TÉ	BOTE	HORMIGA	ELFO	OLA	NARIZ	BASURA	NIEBLA
PLAYA	TECHO	CHALECO	CHISPA	CAJA	PARQUE	GANSOS	GUISANTE	ESTERA	ESQUÍ	PIEDRA	LUNAR
CAMISA	CAMIÓN	PERLA	TIBURÓN	PISO	ESTUFA	TREN	PRIMAVERA	CAPA	DURAZNO	TAZA	SOMBRERO
OREJA	MANGUERA	ABEJA	TARRO	VESTIDO	HERRAMIENTA	JAULA	CEPILLO	ESCUDO	PRECIPICIO	DARDO	VACA
BOLÍGRAFO	OVEJA	LIBRO	CIELO	BANDERA	ESCALERA	DULCE	MANO	BARRO	MUÑECO	ESCOBA	FUERTE
TRAPO	LAGO	PAPALOTE	RATÓN	NIEVE	MULA	JEEP	MUELLE	ESCRITORIO	ESTRELLA	CATRE	BOTA
MANGA	CUADRADO	CONCHA	COSTILLA	TRAJE	RAÍZ	TABLERO	HIELO	ANZUELO	PIE	MAR	GUARDIA
JUEZ	MEDIA	PEZ	AVIÓN	ESCUELA	PULGAR	CUCHARA	BAÑO	SAL	TIENDA	MAÍZ	CUBO
SEMILLA	CONO	ZANJA	FRIJOL	COMIDA	LUNA	VID	MALEZA	SORBETE	FICHA	MEJILLA	SILLA
SAPO	GRANERO	VENTILADOR	PISCINA	VERJA	CORDEL	LÁMPARA	PATIO	HILO	ROSA	COLINA	BALLENA
BANDA	DIENTE	ZOOLÓGICO	JEFE	CERCA	BOLA	PELAJE	ARCA	TINTA	POLILLA	CARNET	ESPADA
OSO	ZAPATO	HUMO	CABALLO	TALLO	VELA	DIENTES	RUBOR	MASCOTA	CASA	PRÍNCIPE	NIÑO
ARROZ	RASTRILLO	HOYO	TAPETE	BOCA	SOL	VASO	JABÓN	HUEVO	RAMA	ALCES	GUSANO
CAMIONETA	BANDEJA	MAPA	GUANTE	ESPONJA	PAGÍNA	AGUANIEVE	CÁRCEL	ASIENTO	CALLE	CORBATA	PALO
VENADO	COPA	JUGO	VARITA	UVA	GRÚA	DEDO	BANCO	PARED	PAYASO	LABERINTO	TARTA
CARRO	PERA	JARRÓN	HACHA	ÁRBOL	PUERTA	MONO	AVE	CÉSPED	MONEDA	ROBLE	PANTANO
SOPA	EFECTIVO	PALMA	LLAVE	TELARAÑA	RED	REMO	LECHE	HALCÓN	PLANTA	MURCIÉLAGO	PASTEL
CORONA	TOSTADA	LABIO	ORO	BOLSA	PLATO	BASTÓN	RANA	FLORECER	CANDADO	POZO	POLO
CARPA	SONRISA	GALLINA	PIERNA	CARA	JET	LADRILLO	HIERBA	BRAZO	TABURETE	FLAUTA	PELÍCULA
MOFETA	BARCO	PAN	ARBUSTO	NUBE	CARRETERA	LIMO	CORDERO	CORAZÓN	PUENTE	HOJA	BOLSO
SELLO	ALA	CAMA	PANTALONES	ZORRO	LLAMA	CAMARÓN	AUTO	BOMBA	TORMENTA	PIPA	MUNDO
PERRO	MADERA	ANGUILA	ESPUMA	CORREO	LOBO	TERRENO	RUEDA	TIZA	COLA	SIGNO	TANQUE
FILETE	VAPOR	CABRA	HABITACIÓN	UÑA	SERPIENTE	GRANJA	PEZUÑA	FRUTA	CUERVO	ESTANQUE	CUERNO
SOGA	CUERDA	PICO	GATO	TAZÓN	LLUVIA	LODO	ALFILER	LANZA	TELÉFONO	TAMBOR	MENTÓN
RATA	TENEDOR	PULGA	CARACOL	RELOJ	ROCA	PASTA	PATO	CERDO	CRÍA	CUEVA	JUGUETE
