CORBATA	MULA	CERCA	RUBOR	CAMIONETA	CALLE	BOLSO	FICHA	CUERNO	ZANJA	NARIZ	MUÑECO
HUEVO	HALCÓN	COMIDA	RANA	AVE	RAMA	PIPA	CONCHA	ZORRO	SELLO	MASCOTA	NIDO
FREGADERO	TARTA	TABLERO	MEDIA	CUCHARA	ESTUFA	AGUANIEVE	MADERA	PULGAR	TRAJE	BARCO	CAMARÓN
RATÓN	HABITACIÓN	VESTIDO	LÁMPARA	PELAJE	CASA	CARRO	MOFETA	ESCOBA	CERDO	SILLA	ALCES
VID	TAMBOR	PALMA	ASIENTO	TAZA	SORBETE	VASO	ROSA	BANDA	MANO	CUBO	BANDEJA
CARA	GUARDIA	FILETE	LLAMA	JARRÓN	TÉ	CATRE	NIÑO	BRAZO	TABURETE	PASTEL	BALLENA
RAÍZ	LUNAR	HOJA	DARDO	PEZ	LAGO	SAL	RED	HORMIGA	ARROZ	DIENTE	PERLA
PLANTA	TALLO	AUTO	ROCA	SOL	HIELO	BOMBA	LLAVE	LUNA	ESTRELLA	FLAUTA	MAPA
SOGA	CANDADO	PAPALOTE	GRANERO	TRAPO	MUELLE	JABÓN	MANGA	PIERNA	TENEDOR	OVEJA	PALO
ESPADA	MAR	PLAYA	BASTÓN	LANZA	PANTALONES	COSTILLA	BOCA	SIGNO	PRECIPICIO	PANTANO	SOMBRERO
DEDO	PUERTA	VENTILADOR	VERJA	CARRETERA	PISO	COLINA	ZAPATO	CÉSPED	DURAZNO	REMO	MEJILLA
SAPO	TANQUE	RUEDA	ESTANQUE	GUSANO	TIENDA	CHISPA	CARACOL	CORDEL	CONO	GUISANTE	VAPOR
CUEVA	HILO	ANGUILA	PUENTE	PRÍNCIPE	NUBE	ESCUDO	PIEDRA	BOTE	CUADRADO	OLA	BANDERA
MENTÓN	CIELO	GALLINA	PICO	RATA	PARED	LOBO	LADRILLO	TAPETE	TELARAÑA	PATO	HIERBA
CORREO	CORONA	LABERINTO	BOLSA	MONEDA	BOLA	BARRO	MURCIÉLAGO	HERRAMIENTA	PERRO	PEZUÑA	PULGA
VENADO	CORDERO	ESTERA	PATIO	BOTA	HACHA	CAJA	COLA	JAULA	PISCINA	JEEP	DULCE
TIZA	ESCRITORIO	GUANTE	BAÑO	TELÉFONO	ARBUSTO	GRÚA	TECHO	ANZUELO	PARQUE	LIMO	RELOJ
POZO	LABIO	AVIÓN	LLUVIA	PELÍCULA	FLORECER	FRIJOL	MONO	JET	ESPONJA	ALA	ESCALERA
TREN	ZOOLÓGICO	TORMENTA	JUEZ	ORO	CAMA	CAMISA	VELA	JEFE	CAPA	OSO	VARITA
CARNET	CORAZÓN	PAGÍNA	MALEZA	JUGO	ESCUELA	CÁRCEL	CUERVO	ROBLE	PAYASO	CRÍA	CABALLO
BOLÍGRAFO	TINTA	JUGUETE	BANCA	LECHE	OREJA	BÚHO	PAN	PLATO	PASTA	CEPILLO	UVA
FRUTA	TARRO	SEMILLA	RASTRILLO	POLILLA	PERA	VACA	SERPIENTE	ÁRBOL	CABRA	GRANJA	ARCA
FUERTE	HUMO	UÑA	CUERDA	ABEJA	DIENTES	EFECTIVO	POLO	LIBRO	GATO	MUNDO	BANCO
TOSTADA	BASURA	ELFO	CARPA	COPA	PIE	MAÍZ	PRIMAVERA	SOPA	CAMIÓN	TERRENO	TAZÓN
SONRISA	NIEVE	LODO	ESQUÍ	NIEBLA	ALFILER	HOYO	GANSOS	CHALECO	MANGUERA	TIBURÓN	ESPUMA
