ROCA	ESCALERA	COPA	JUGUETE	PIPA	TINTA	NARIZ	HIELO	LOBO	TAZÓN	CARNET	TAPETE
VERJA	HOYO	PISO	LLAMA	LODO	JET	JEEP	PLATO	LABERINTO	HALCÓN	PICO	SEMILLA
MOFETA	NUBE	JUGO	POLILLA	TRAJE	CARACOL	MAR	CIELO	HILO	AVIÓN	DARDO	MADERA
BANDEJA	PAN	MAÍZ	CHISPA	TÉ	GUANTE	MALEZA	RUEDA	BARRO	RELOJ	PATO	NIEBLA
PRÍNCIPE	HERRAMIENTA	UÑA	JUEZ	DIENTES	PLAYA	VASO	TOSTADA	DEDO	CUCHARA	PAPALOTE	HABITACIÓN
CASA	SOPA	ALFILER	BALLENA	PIE	GRANERO	CARPA	TELÉFONO	ASIENTO	MURCIÉLAGO	SORBETE	PIERNA
MONEDA	ABEJA	PIEDRA	DIENTE	CARRETERA	SOMBRERO	FLORECER	OSO	TAMBOR	RASTRILLO	LIMO	GANSOS
ROSA	PANTALONES	SONRISA	ZANJA	BANDERA	PALO	CUADRADO	ALCES	PRECIPICIO	RED	MAPA	LÁMPARA
ESTERA	MANGUERA	HOJA	TIBURÓN	LECHE	BOLA	BRAZO	TIENDA	ORO	CAPA	TORMENTA	PARED
MEJILLA	ESCUELA	ANZUELO	COSTILLA	VELA	ZAPATO	CUERVO	GALLINA	MANGA	PISCINA	ZOOLÓGICO	MANO
CUEVA	LIBRO	TABLERO	RATA	NIEVE	BOCA	CORDERO	PUENTE	PERRO	CARRO	BARCO	MUNDO
PULGA	TELARAÑA	FUERTE	PUERTA	CAMIÓN	PERA	CHALECO	VACA	JAULA	BÚHO	LAGO	GUISANTE
GRANJA	PEZ	PLANTA	TARRO	ARROZ	ESCRITORIO	REMO	ESCOBA	TIZA	CÉSPED	CABRA	SAL
SIGNO	EFECTIVO	TARTA	ARCA	POZO	ESPUMA	CABALLO	PANTANO	BANCO	COLINA	NIDO	COLA
SOGA	TERRENO	LABIO	LUNA	CAMA	COMIDA	GRÚA	POLO	CATRE	CORREO	OVEJA	AGUANIEVE
TABURETE	BOLSO	ELFO	TRAPO	BOLSA	TECHO	CANDADO	VID	CUERDA	CAMISA	ESTUFA	TAZA
AUTO	DURAZNO	CAMARÓN	CORDEL	CUERNO	CALLE	VARITA	ESCUDO	PRIMAVERA	ALA	ESPADA	ZORRO
CARA	PERLA	FRIJOL	BOMBA	JABÓN	OLA	HUMO	PASTA	PALMA	MENTÓN	DULCE	MASCOTA
CRÍA	FILETE	SELLO	MEDIA	BANDA	PATIO	PEZUÑA	RATÓN	GATO	CAMIONETA	CERCA	ESQUÍ
LANZA	SOL	OREJA	PAGÍNA	PAYASO	BASURA	PARQUE	SERPIENTE	CEPILLO	SAPO	RANA	PULGAR
FREGADERO	BOLÍGRAFO	HACHA	ANGUILA	CÁRCEL	SILLA	CORAZÓN	BOTA	TENEDOR	JEFE	GUARDIA	JARRÓN
GUSANO	TANQUE	CONCHA	ESTANQUE	RAMA	ÁRBOL	FLAUTA	PASTEL	TALLO	MUÑECO	RAÍZ	LLUVIA
LLAVE	CORBATA	ESTRELLA	PELÍCULA	ARBUSTO	HIERBA	RUBOR	AVE	VESTIDO	BOTE	PELAJE	VENTILADOR
UVA	ESPONJA	TREN	CORONA	CONO	BAÑO	MULA	CAJA	HUEVO	FRUTA	MUELLE	MONO
BASTÓN	LUNAR	CUBO	ROBLE	NIÑO	HORMIGA	VENADO	FICHA	LADRILLO	VAPOR	BANCA	CERDO
