LADRILLO	CORDEL	ANGUILA	GANSOS	HERRAMIENTA	MANO	BOLÍGRAFO	PERRO	DIENTE	JUEZ	CUERVO	ESCRITORIO
TABLERO	JET	JARRÓN	HUEVO	TANQUE	LLAMA	VID	ROSA	VACA	TIENDA	BAÑO	ARCA
PANTALONES	BÚHO	HALCÓN	TECHO	PRIMAVERA	GUSANO	DURAZNO	TRAJE	NARIZ	CÉSPED	CERCA	DULCE
TARRO	LLAVE	UVA	PATO	PISCINA	MURCIÉLAGO	PISO	MUÑECO	PASTA	ESCOBA	TIBURÓN	MANGUERA
CÁRCEL	ÁRBOL	PATIO	RUEDA	ZORRO	CARNET	CORONA	VENTILADOR	CAMISA	OSO	CAMIÓN	FLAUTA
HUMO	GUARDIA	TORMENTA	SONRISA	RASTRILLO	LODO	PEZ	RUBOR	CARPA	MAPA	AUTO	CUERDA
CORBATA	CUADRADO	PAN	BANDERA	DIENTES	VENADO	TELARAÑA	RANA	PAGÍNA	BOTE	HORMIGA	PIE
PASTEL	GUANTE	LIBRO	ROCA	MAÍZ	CORDERO	HACHA	LLUVIA	HIELO	BARCO	ALFILER	JUGUETE
GALLINA	SAPO	ESCUDO	PULGA	LUNAR	PIEDRA	CEPILLO	PELAJE	LUNA	JABÓN	ELFO	VASO
CASA	CERDO	FICHA	CORAZÓN	TAZA	CARRETERA	PALO	ALA	HOJA	ROBLE	VERJA	ALCES
ANZUELO	MAR	PAPALOTE	TAMBOR	CARRO	BOCA	MANGA	CHISPA	VESTIDO	CAMARÓN	ORO	BASURA
CARA	PULGAR	SIGNO	ASIENTO	ESCALERA	LECHE	NIEVE	CABALLO	CIELO	JAULA	DARDO	NIDO
MADERA	SELLO	RAÍZ	ESPONJA	BASTÓN	BOTA	FREGADERO	UÑA	GATO	FILETE	PLAYA	MALEZA
GRÚA	HIERBA	VARITA	HOYO	CAMIONETA	TENEDOR	PLATO	JUGO	ZANJA	MUELLE	PIPA	NIEBLA
FRIJOL	CUERNO	MUNDO	BOLSA	PUERTA	TABURETE	CAMA	ARROZ	COPA	CAJA	ZOOLÓGICO	PLANTA
AVIÓN	LÁMPARA	COSTILLA	TRAPO	COMIDA	ESTANQUE	RATA	ESTERA	EFECTIVO	BANDA	LOBO	CARACOL
TREN	VELA	VAPOR	PERA	GRANJA	FLORECER	CUBO	MENTÓN	PRÍNCIPE	BOMBA	BANCO	CUCHARA
TÉ	OLA	TAZÓN	SERPIENTE	CATRE	AVE	PAYASO	MEJILLA	MEDIA	RELOJ	POZO	BALLENA
BARRO	ESQUÍ	GUISANTE	POLILLA	BANDEJA	POLO	PARED	BOLSO	MASCOTA	TOSTADA	COLA	NUBE
SOL	LANZA	TAPETE	MOFETA	DEDO	CONCHA	SOPA	SOMBRERO	RATÓN	ESPADA	PICO	BRAZO
ESTUFA	CORREO	TINTA	REMO	PANTANO	FUERTE	GRANERO	PRECIPICIO	TERRENO	CRÍA	LABERINTO	CALLE
TELÉFONO	CUEVA	ZAPATO	AGUANIEVE	OVEJA	RAMA	PELÍCULA	COLINA	JEEP	ESCUELA	TALLO	PALMA
LABIO	MONEDA	SILLA	SOGA	BANCA	FRUTA	TARTA	PEZUÑA	ABEJA	SORBETE	CHALECO	ESTRELLA
PARQUE	CABRA	SAL	LIMO	TIZA	MULA	BOLA	JEFE	CAPA	ESPUMA	CONO	RED
CANDADO	PIERNA	LAGO	HILO	PUENTE	SEMILLA	MONO	NIÑO	OREJA	PERLA	HABITACIÓN	ARBUSTO
