PLAYA	PAGÍNA	MAPA	LLAVE	PELÍCULA	MANGUERA	PERLA	TIENDA	MONEDA	TANQUE	DULCE	VASO
CÉSPED	ZORRO	DIENTE	CUCHARA	PASTA	BASURA	ELFO	CEPILLO	PERA	NARIZ	JUGO	RATA
CUERVO	MULA	LODO	LIMO	ARBUSTO	MOFETA	ÁRBOL	ROSA	CUERNO	PANTANO	TAZA	ESTANQUE
VACA	CERCA	ESCALERA	GRANERO	CARRETERA	SORBETE	CAMA	HILO	PUENTE	OVEJA	CUBO	FLORECER
CORBATA	HERRAMIENTA	TINTA	CAMARÓN	CUADRADO	LIBRO	PEZUÑA	JABÓN	OREJA	ESCUELA	ARROZ	SEMILLA
ESCOBA	CARA	MENTÓN	TARRO	CANDADO	PALO	TOSTADA	JAULA	SERPIENTE	TENEDOR	COSTILLA	BOLSO
BOMBA	FUERTE	OLA	LUNAR	HIELO	SAPO	RAÍZ	LOBO	POLO	CUERDA	PLANTA	PICO
CARNET	DURAZNO	ZANJA	BOTA	BOLÍGRAFO	MURCIÉLAGO	NIÑO	LABIO	CAMIÓN	CORDEL	JUGUETE	COLINA
TRAPO	GUANTE	PALMA	SIGNO	BARRO	BASTÓN	GUISANTE	TÉ	PATIO	JARRÓN	FILETE	VENTILADOR
LAGO	MADERA	MUNDO	BOTE	VENADO	PEZ	MAR	SOPA	PISCINA	VELA	NIEVE	MAÍZ
CABRA	VAPOR	TREN	JUEZ	SOMBRERO	GRANJA	ZAPATO	PUERTA	PULGA	CÁRCEL	RUBOR	PIE
VERJA	PIPA	CASA	MALEZA	TRAJE	PARED	PANTALONES	ESCRITORIO	HABITACIÓN	HOYO	PRIMAVERA	GUARDIA
PARQUE	LANZA	CHISPA	CARRO	ASIENTO	AUTO	JEEP	MUÑECO	RUEDA	HALCÓN	BALLENA	TAMBOR
HACHA	ALA	BANCA	FLAUTA	CAMIONETA	PATO	TELARAÑA	GALLINA	AVIÓN	CONCHA	PIEDRA	PRECIPICIO
GRÚA	CIELO	COLA	TABURETE	ESQUÍ	MEJILLA	CAMISA	VARITA	NIEBLA	PIERNA	BANDERA	SONRISA
CAPA	BARCO	TORMENTA	LLAMA	ESTRELLA	LUNA	ESPADA	PLATO	JET	PRÍNCIPE	ALCES	BOLA
BANDEJA	COPA	LÁMPARA	CATRE	GANSOS	TELÉFONO	PISO	BÚHO	RELOJ	FRIJOL	AGUANIEVE	ALFILER
HUMO	TABLERO	UÑA	RANA	CARPA	BRAZO	MUELLE	ESPONJA	LLUVIA	LADRILLO	ROBLE	BAÑO
NUBE	CERDO	TECHO	CORDERO	RED	ESPUMA	HIERBA	CABALLO	CRÍA	SAL	LECHE	ARCA
BANCO	CORAZÓN	HUEVO	ABEJA	EFECTIVO	CORREO	POLILLA	AVE	ORO	TERRENO	JEFE	TIBURÓN
PAN	CARACOL	PAYASO	DARDO	PERRO	PELAJE	CALLE	BANDA	HORMIGA	DIENTES	GATO	RATÓN
ANZUELO	TARTA	CHALECO	TIZA	MANGA	SOGA	GUSANO	FREGADERO	SILLA	CORONA	PULGAR	MONO
VESTIDO	ESTUFA	DEDO	TAZÓN	PASTEL	TAPETE	MASCOTA	REMO	MEDIA	ESTERA	BOLSA	CAJA
COMIDA	POZO	PAPALOTE	BOCA	SOL	SELLO	OSO	CUEVA	ZOOLÓGICO	LABERINTO	ROCA	NIDO
TALLO	CONO	VID	RAMA	UVA	FRUTA	ANGUILA	HOJA	RASTRILLO	FICHA	ESCUDO	MANO
